Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors,States,SDG score,Combined ESG-SDG Score
Jindal Saw Limited,Iron and Steel Products,27,57,66,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.5
Jindal Stainless Limited,Metals - Ferrous,41,61,67,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Jindal Steel and Power Limited,Metals - Ferrous,34,58,54,48,Below Average,Mar-23,Environment,Unknown,,0.0,36.5
Jindal Worldwide Limited,Textiles,31,50,60,CRISIL ESG 48,Below Average,Mar-23,Environment,Unknown,,0.0,35.25
JK Cement Limited,Cement,45,54,65,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
JK Lakshmi Cement Limited,Cement,40,66,65,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
JK Paper Limited,Paper,46,55,66,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
JK Tyre and Industries Limited,Tyre,41,52,64,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
JM Financial Asset Reconstruction Company Limited,Financial Services (capital markets),35,32,55,42,Below Average,Mar-23,Environment/Social,Unknown,,0.0,30.5
JM Financial Credit Solutions Limited,NBFC,46,36,56,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,34.5
JM Financial Limited,Financial Services (Others),36,49,66,51,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.75
JM Financial Products Limited,NBFC,48,38,67,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.25
JM Financial Services Limited,Financial Services (Capital Market),35,31,52,41,Below Average,Mar-23,Environment/Social,Unknown,,0.0,29.5
John Deere Financial India Private Limited,NBFC,43,34,57,46,Below Average,Mar-23,Environment/Social,Unknown,,0.0,33.5
Johnson Controls-Hitachi Air Conditioning India Limited,Durables & Electricals,28,40,59,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
JSW Energy Limited,Power Thermal,49,64,72,62,Strong,Mar-23,Environment,Unknown,,0.0,46.25
JSW Holdings Limited,Holding company,40,50,64,52,Adequate,Mar-22,Environment,Unknown,,0.0,38.5
JSW Steel Limited,Metals - Ferrous,38,62,64,54,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
JTEKT India Limited,Auto Ancillary,25,37,57,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.75
Jubilant FoodWorks Limited,Restaurants,39,57,67,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.75
Jubilant Ingrevia Limited,Chemicals - Speciality Chemicals,43,58,70,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Jubilant Pharmova Limited,Pharmaceuticals,51,50,65,56,Adequate,Mar-22,All sectors adequate,Unknown,,0.0,41.5
Just Dial Limited,Internet & Catalogue Retail,36,53,64,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
Jyothy Labs Limited,FMCG,42,55,76,59,Adequate,Mar-23,Environment,Unknown,,0.0,43.25
Jyoti Structures Limited,Heavy Electrical Equipment,24,25,52,CRISIL ESG 36,Weak,Mar-23,Environment/Social,Unknown,,0.0,25.25
K. P. R. Mill Limited,Textile,33,55,63,CRISIL ESG 50,Below Average,Mar-23,Environment,Unknown,,0.0,37.75
Kajaria Ceramics Limited,Sanitary ware and Ceramics,42,60,63,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Kalpataru Projects International Limited,Construction EPC,40,59,63,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.5
Kalyan Jewellers India Limited,Consumer Retail,28,42,71,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.25
Kalyani Steels Limited,Metals - Ferrous,27,53,60,47,Below Average,Mar-23,Environment,Unknown,,0.0,35.0
Kama Holdings Limited,Holding company,21,43,69,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Kansai Nerolac Paints Limited,Paints,49,60,71,61,Strong,Mar-23,Environment,Unknown,,0.0,45.0
Kaveri Seed Co. Limited,Agri Commodities,24,39,59,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.5
Kaynes Technology India Limited,Durables & Electricals,27,36,62,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.25
KEC International Limited,Construction EPC,41,60,67,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
KEI Industries Limited,Industrials,28,35,62,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.25
Kennametal India Limited,Industrials,32,41,69,49,Adequate,Jun-22,Environment/Social,Unknown,,0.0,35.5
Kesoram Industries Limited,Cement,30,44,68,49,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.5
Kewal Kiran Clothing Limited,Textile,22,41,60,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.75
KFIN Technologies Private Limited,Financial Services (Capital Market),50,53,66,57,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,42.25
KIOCL Limited,Metals - Ferrous,29,58,56,47,Below Average,Mar-23,Environment,Unknown,,0.0,35.75
Kiri Industries Limited,Chemicals - Speciality Chemicals,18,39,61,40,Weak,Mar-23,Environment/Social,Unknown,,0.0,29.5
Kirloskar Brothers Limited,Industrials,44,46,59,51,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.25
Kirloskar Ferrous Industries Limited,Metals - Ferrous,30,58,72,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Kirloskar Industries Limited,Metals - Ferrous,14,36,73,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.75
Kirloskar Oil Engines Limited,Industrials,49,48,68,57,Adequate,Mar-22,Environment/Social,Unknown,,0.0,41.25
Kirloskar Pneumatic Company Limited,Industrials,31,39,70,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Kitex Garments Limited,Textiles,31,57,61,CRISIL ESG 50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
KMC Speciality Hospitals (India) Limited,Healthcare,32,61,66,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
KNR Constructions Limited,Construction EPC,31,55,66,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Kolte-Patil Developers Limited,Real Estate,25,36,66,44,Below Average,Mar-23,Environment/Social,Unknown,,0.0,31.75
Kopran Limited,Pharmaceuticals,25,45,69,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Kotak Mahindra Bank Limited,Banks,64,58,75,67,Strong,Mar-23,All sectors adequate,Maharashtra,,70.0,66.75
Kotak Mahindra Investments Limited,NBFC,47,38,56,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.25
Kotak Mahindra Prime Limited,NBFC,44,41,59,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
Kotak Securities Limited,Financial Services (Capital Market),35,32,56,43,Below Average,Mar-23,Environment/Social,Unknown,,0.0,30.75
Kovai Medical Center and Hospital Limited,Healthcare,42,66,57,54,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
KPIT Technologies Limited,IT,53,46,68,57,Adequate,Mar-23,Social,Unknown,,0.0,41.75
Krbl Limited,Agri Commodities,37,47,55,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Krishna Institute of Medical Sciences Limited,Healthcare,41,47,65,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.25
Krsnaa Diagnostics Limited,Healthcare,44,58,67,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
KSB Limited,Industrials,28,39,62,45,Below Average,Dec-21,Environment/Social,Unknown,,0.0,32.25
L G Balakrishnan and Bros Limited,Auto Ancillary,25,34,65,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.0
L&T Finance Limited (formerly L&T Finance Holdings Limited),NBFC,59,62,70,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.75
L&T Technology Services Limited,IT,63,67,72,68,Strong,Mar-23,All sectors adequate,Gujarat,,69.0,67.75
LA Opala R G Limited,Consumer Retail,29,41,62,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,33.0
Lakshmi Machine Works Limited,Industrials,32,34,67,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Landmark Cars Limited,Consumer Retail,27,35,58,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.0
Larsen and Toubro Limited,Construction EPC,51,68,68,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.75
Latent View Analytics Limited,IT,45,42,70,54,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.25
Laurus Labs Limited,Pharmaceuticals,42,56,72,58,Adequate,Mar-22,Environment,Unknown,,0.0,42.5
Laxmi Organic Industries Limited,Chemicals - Speciality Chemicals,40,50,67,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
Lemon Tree Hotels Limited,Hotels,45,56,67,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
LIC Housing Finance Limited,NBFC,52,60,74,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.5
Life Insurance Corporation of India,Insurance,40,63,63,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Linde India Limited,Industrials,38,37,66,49,Adequate,Dec-21,Environment/Social,Unknown,,0.0,35.25
Lloyds Metals and Energy Limited,Metals - Ferrous,31,42,71,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
LT Foods Limited,FMCG,41,41,67,51,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.25
LTIMindtree Limited,IT,76,69,75,74,Leadership,Mar-23,All sectors adequate,Maharashtra,,70.0,72.5
Lumax Auto Technologies Limited,Auto Ancillary,30,31,68,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,32.25
Lumax Industries Limited,Auto Ancillary,28,31,63,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.5
Lupin Limited,Pharmaceuticals,45,61,67,58,Adequate,Mar-22,Environment,Unknown,,0.0,43.25
Lux Industries Limited,Textiles,39,59,59,CRISIL ESG 52,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
Macrotech Developers Limited,Real Estate,58,54,72,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.0
Mahanagar Gas Limited,Oil & Gas - Gas,38,61,68,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Mahanagar Telephone Nigam Limited,Telecom,30,50,60,47,Below Average,Mar-23,Environment,Unknown,,0.0,35.0
Maharashtra Scooters Limited,Holding company,56,55,69,61,Strong,Mar-22,All sectors adequate,Unknown,,0.0,45.0
Maharashtra Seamless Limited,Metals - Linked Products,27,55,70,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Mahindra and Mahindra Financial Services Limited,NBFC,56,63,73,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.0
Mahindra and Mahindra Limited,Auto OEM,55,59,72,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.5
Mahindra Holidays and Resorts India Limited,Hotels,41,39,69,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.25
Mahindra Lifespace Developers Limited,Real Estate,55,55,70,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.0
Mahindra Logistics Limited,Logistics,41,51,75,57,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Mahindra Rural Housing Finance Limited,NBFC,48,49,62,54,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.75
Maithon Alloys,Metals - Ferrous,29,45,67,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.25
Man Infraconstruction Limited,Construction EPC,28,36,67,46,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.75
Manali Petrochemicals Limited,Chemicals - Bulk & Polymers,26,55,66,50,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
Manappuram Finance Limited,NBFC,53,59,76,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.0
Mangalam Cement Limited,Cement,36,55,61,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Mangalore Refinery and Petrochemicals Limited,Oil & Gas - Refining & Marketing,41,60,65,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Mankind Pharma Limited,Pharmaceuticals,25,49,62,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.0
Manorama Industries Limited,FMCG,36,58,72,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Marico Limited,FMCG,58,59,73,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Marksans Pharma Limited,Pharmaceuticals,26,45,66,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
Maruti Suzuki India Limited,Auto OEM,43,61,67,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
MAS Financial Services Limited,NBFC,55,58,68,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.25
Mastek Limited,IT,50,68,70,63,Strong,Mar-22,All sectors adequate,Unknown,,0.0,47.0
Matrimony.com Limited,Internet & Catalogue Retail,39,53,70,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.5
Max Financial Services Limited,Insurance,47,61,66,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.5
Max Healthcare Institute Limited,Healthcare,58,62,70,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Mayur Uniquoters Limited,Textile,24,41,68,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Mazagon Dock Shipbuilders Limited,Shipbuilding,27,46,59,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,33.0
Medplus Health Services Limited,Retailing (Pharmacy Retail),46,63,58,CRISIL ESG 55,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
MEP Infrastructure Developers Limited,Transport Infra - Roads,24,29,48,35,Below Average,Mar-22,Environment/Social/Governance,Unknown,,0.0,25.25
Metro Brands Limited,Consumer Retail,28,43,71,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
Metropolis Healthcare Limited,Healthcare,42,53,69,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Minda Corporation Limited,Auto Ancillary,28,35,63,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.5
Mindspace Business Parks REIT (Mindspace REIT),REIT,45,57,54,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
Mirza International Limited,Consumer Retail,31,45,61,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
Mishra Dhatu Nigam Limited,Metals - Linked Products,21,41,58,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.0
MM Forgings Limited,Auto Ancillary,26,30,64,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.0
MMTC Limited,Trading,25,61,48,43,Below Average,Mar-23,Environment/Governance,Unknown,,0.0,33.5
Moil Limited,Mining,25,52,60,46,Below Average,Mar-23,Environment,Unknown,,0.0,34.25
Mold-Tek Packaging Limited,Consumer Retail,30,46,69,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.25
Morepen Laboratories Limited,Pharmaceuticals,27,47,64,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.5
Motherson Sumi Wiring India Limited,Industrials,46,48,65,54,Adequate,Mar-22,Environment/Social,Unknown,,0.0,39.75
Motilal Oswal Financial Services Limited,Financial Services (capital markets),44,45,67,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.0
Motilal Oswal Home Finance Limited,NBFC,46,44,65,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.75
Mphasis Limited,IT,63,52,70,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.25
MPS Limited,IT,39,49,68,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.0
MRF Limited,Tyre,36,56,58,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.5
Mrs.Bectors Food Specialities Limited,FMCG,39,52,70,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
MSTC Limited,Trading,27,43,62,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,33.0
MTAR Technologies Limited,Industrials,29,39,75,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.75
Mukand Limited,Metals - Ferrous,32,58,68,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.5
Multi Commodity Exchange of India Limited,Financial Services (capital markets),50,50,78,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,44.5
Music Broadcast Limited,Media,37,47,69,52,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.25
Muthoot Finance Limited,NBFC,53,65,67,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.25
Nabha Power Limited,Power Thermal,18,31,51,35,Below Average,Mar-22,Environment/Social,Unknown,,0.0,25.0
Nagarjuna Agro Chemicals Private Limited,Chemicals - Speciality Chemicals,26,56,68,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.5
Nahar Spinning Mills Limited,Textiles,28,62,62,CRISIL ESG 51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Narayana Hrudayalaya Limited,Healthcare,37,50,72,54,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Natco Pharma Limited,Pharmaceuticals,48,66,65,59,Adequate,Mar-22,Environment,Unknown,,0.0,44.75
National Aluminium Company Limited,Metals - Non-Ferrous,29,64,56,48,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
National Bank For Agriculture and Rural Development,Financial Institution ,55,54,45,51,Adequate,Mar-23,Governance,Unknown,,0.0,38.5
National Cooperative Development Corporation,Financial Institution,51,39,35,41,Below Average,Mar-23,Social/Governance,Unknown,,0.0,31.25
National Fertilizers Limited,Chemicals - Fertilizers,33,51,63,50,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
National Highways Authority of India,Transport Infra - Roads,40,43,26,35,Below Average,Mar-22,Environment/Social/Governance,Unknown,,0.0,27.25
National Housing Bank,Financial Institution ,50,45,48,48,Below Average,Mar-23,Social/Governance,Unknown,,0.0,35.75
Nava Limited,Power Thermal,18,36,71,44,Below Average,Mar-23,Environment/Social,Unknown,,0.0,31.25
Navin Fluorine International Limited,Chemicals - Speciality Chemicals,41,57,62,53,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Navneet Education Limited,Publishing,33,52,65,51,Adequate,Mar-22,Environment,Unknown,,0.0,37.5
Nazara Technologies Limited,Digital Entertainment,37,48,71,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.0
NBCC (India) Limited,Construction EPC,30,51,65,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.5
NCC Limited,Construction EPC,30,57,66,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
NCL Industries Limited,Cement,17,29,66,39,Weak,Mar-23,Environment/Social,Unknown,,0.0,28.0
NELCO Limited,Telecom,45,57,68,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Neogen Chemicals Limited,Chemicals - Speciality Chemicals,36,57,72,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Nesco Limited,Real Estate,40,54,65,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Nestle India Limited,FMCG,45,58,74,60,Adequate,Dec-22,Environment,Unknown,,0.0,44.25
Network18 Media and Investments Limited,Media,38,46,72,54,Adequate,Mar-22,Environment/Social,Unknown,,0.0,39.0
Neuland Laboratories Limited,Pharmaceuticals,44,52,67,56,Adequate,Mar-22,Environment,Unknown,,0.0,40.75
Newgen Software Technologies Limited,IT,55,61,69,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.25
NHPC Limited,"Power Renewable (Hydro, Nuclear)",36,57,59,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Niit Limited,IT,56,57,68,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.25
Nilkamal Limited,Consumer Retail,33,45,65,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.75
Nippon Life India Asset Management Limited,Financial Services (Capital Market),56,60,71,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.75
Nirlon Limited,Real Estate,36,52,76,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Nitin Spinners Limited,Textiles,37,59,67,CRISIL ESG 55,Adequate,Mar-23,Environment,Unknown,,0.0,40.75
NLC India Limited,Power Thermal,31,58,65,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.5
Nmdc Limited,Mining,38,60,54,50,Below Average,Mar-23,Environment,Unknown,,0.0,38.0
NOCIL Limited,Chemicals - Speciality Chemicals,38,60,70,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
Novartis India Limited,Pharmaceuticals,25,45,66,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.0
NRB Bearings Limited,Auto Ancillary,25,32,74,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,32.75
NTPC Limited,Power Thermal,40,62,66,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
Nuclear Power Corporation of India Limited,"Power Renewable (Hydro, Nuclear)",17,31,53,35,Weak,Mar-23,Environment/Social,Unknown,,0.0,25.25
Nureca Limited,Durables & Electricals,35,39,64,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.5
Nuvoco Vistas Corporation Limited,Cement,41,57,66,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Oberoi Realty Limited,Real Estate,40,53,69,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.5
Oil and Natural Gas Corporation Limited,Oil & Gas - Exploration & Production,31,42,60,46,Below Average,Mar-23,Environment/Social,Unknown,,0.0,33.25
Oil India Limited,Oil & Gas - Exploration & Production,29,61,62,50,Below Average,Mar-23,Environment,Unknown,,0.0,38.0
Omaxe Limited,Real Estate,26,41,53,41,Below Average,Mar-23,Environment/Social,Unknown,,0.0,30.0
One 97 Communications Limited,Financial Services (fintech),49,50,50,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
ONGC Petro additions Limited,Chemicals - Bulk & Polymers,21,23,57,36,Weak,Mar-23,Environment/Social,Unknown,,0.0,25.25
Onmobile Global Limited,Internet,39,58,66,55,Adequate,Mar-22,Environment,Unknown,,0.0,40.75
Oracle Financial Services Software Limited,IT,51,58,69,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.5
Orchid Pharma Limited,Pharmaceuticals,27,46,67,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Orient Cement Limited,Cement,44,57,69,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Orient Electric Limited,Durables & Electricals,29,38,73,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Oriental Aromatics Limited,Chemicals - Speciality Chemicals,32,40,60,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,33.0
Oriental Carbon and Chemicals Limited,Commodity Chemicals,31,54,60,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.25
Oriental Hotels Limited,Hotels,42,54,69,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Page Industries Limited,Textiles,49,58,68,CRISIL ESG 59,Adequate,Mar-23,Environment,Unknown,,0.0,43.75
Paisalo Digital Limited,NBFC,51,51,66,57,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,42.0
Panacea Biotec Limited,Pharmaceuticals,27,50,59,45,Below Average,Mar-22,Environment,Unknown,,0.0,34.0
Panama Petrochem Limited,Lubricants,35,55,69,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Panatone Finvest Limited,Holding company,56,45,39,46,Adequate,Mar-22,Social/Governance,Unknown,,0.0,35.0
Paras Defence and Space Technologies Limited,Industrials,27,33,65,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.25
Patanjali Foods Limited,FMCG,41,57,63,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
Patel Engineering Limited,Construction EPC,37,57,65,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
PB Fintech Limited,Financial Services (fintech),42,52,64,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.5
PCBL Limited,Chemicals - Bulk & Polymers,45,58,75,60,Adequate,Mar-23,Environment,Unknown,,0.0,44.5
PDS Limited,Trading,33,49,69,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.75
Persistent Systems Limited,IT,75,70,77,74,Leadership,Mar-23,All sectors adequate,Maharashtra,,70.0,73.0
Petronet LNG Limited,Oil & Gas - Gas,40,63,65,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
Pfizer Limited,Pharmaceuticals,31,49,68,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.0
PG Electroplast Limited,Durables & Electricals,28,34,59,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
Phoenix Mills Limited,Real Estate,34,34,68,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.0
PI Industries Limited,Chemicals - Speciality Chemicals,44,57,72,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.25
Pidilite Industries Limited,Chemicals - Speciality Chemicals,43,47,64,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.5
Pilani Investment And Industries Corporation Limited,NBFC,46,32,69,52,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.75
Pipeline Infrastructure Limited,InvIT,30,36,66,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.0
Piramal Capital and Housing Finance Limited,NBFC,45,44,65,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.5
Piramal Enterprises Limited,NBFC,53,57,64,58,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,43.5
Pitti Engineering Limited,Industrials,29,37,66,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.0
PNB Housing Finance Limited,NBFC,50,57,67,58,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,43.5
PNC Infratech Limited,Construction EPC,30,54,63,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
Pokarna Limited,Other Construction Material,25,20,59,38,Weak,Mar-23,Environment/Social,Unknown,,0.0,26.0
Poly Medicure Limited,Durables & Electricals,30,40,66,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.0
Polycab India Limited,Durables & Electricals,33,47,65,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.25
Polyplex Corporation Limited,Chemicals - Bulk & Polymers,21,32,66,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.75
Poonawalla Fincorp Limited,NBFC,49,59,67,59,Adequate,Mar-23,Environment,Unknown,,0.0,43.75
Power Finance Corporation Limited,Financial Institution ,51,62,60,58,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,43.25
Power Grid Corporation of India Limited,Power T&D,47,67,57,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Power Mech Projects Limited,Construction EPC,24,49,66,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,34.75
POWERGRID Infrastructure Investment Trust,Power T&D,24,19,50,33,Weak,Mar-23,Environment/Social,Unknown,,0.0,23.25
Praj Industries Limited,Heavy Engineering,28,41,64,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Prataap Snacks Limited,FMCG,42,52,65,54,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Premier Explosives Limited,Chemicals - Speciality Chemicals,14,26,61,36,Weak,Mar-23,Environment/Social,Unknown,,0.0,25.25
Prestige Estates Projects Limited,Real Estate,39,54,61,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.5
Prime Focus Limited,IT,39,43,63,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.25
Primo Chemicals Limited,Commodity Chemicals,35,40,69,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
Prince Pipes and Fittings Limited,Plastic Products - Pipes,55,60,66,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,45.25
Prism Johnson Limited,Cement,34,56,67,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
