Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors,States,SDG score,Combined ESG-SDG Score
Blue Star Limited,Durables & Electricals,30,43,66,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Bodal Chemicals Limited,Chemicals - Speciality Chemicals,33,53,69,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.75
Bombay Burmah Trading Corporation Limited,Holding company,27,41,65,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Bombay Dyeing & Manufacturing Company Limited,Textiles,31,56,62,CRISIL ESG 50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
Borosil Limited,Consumer Retail,30,41,68,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Borosil Renewables Limited,Consumer Retail,32,43,67,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
Bosch Limited,Auto Ancillary,27,35,68,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,32.5
Brigade Enterprises Limited,Real Estate,51,57,68,59,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.0
Britannia Industries Limited,FMCG,54,58,68,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,45.0
Brookfield India Real Estate Trust,REIT,31,20,54,38,Weak,Mar-23,Environment/Social,Unknown,,0.0,26.25
BSE Limited,Financial Services (capital markets),49,44,78,59,Adequate,Mar-23,Environment/Social,Unknown,,0.0,42.75
Butterfly Gandhimathi Appliances Limited,Durables & Electricals,28,37,70,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
C.E. Info Systems Limited,IT,41,61,68,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Camlin Fine Sciences Limited,Chemicals - Speciality Chemicals,17,30,64,39,Weak,Mar-23,Environment/Social,Unknown,,0.0,27.75
Campus Activewear Limited,Consumer Retail,28,42,68,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.5
Can Fin Homes Limited,NBFC,51,57,71,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,44.75
Canara Bank,Banks,51,68,68,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.75
Cantabil Retail India Limited,Textile,22,39,67,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.0
Capacit'e Infraprojects Limited,Construction EPC,30,54,67,51,Adequate,Mar-23,Environment,Unknown,,0.0,37.75
Caplin Point Laboratories Limited,Pharmaceuticals,25,47,71,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.75
Capri Global Capital Limited,NBFC,49,56,74,61,Strong,Mar-23,Environment,Unknown,,0.0,44.75
Carborundum Universal Limited,Industrials,29,38,70,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
Care Ratings Limited,Financial Services (Rating Agencies),41,45,74,55,Adequate,Mar-22,Environment/Social,Unknown,,0.0,40.0
Cartrade Tech Limited,E-Retail/ E-Commerce,39,45,69,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.25
Carysil Limited,Building material,26,35,63,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.0
Castrol India Limited,Lubricants,54,60,70,62,Strong,Dec-22,All sectors adequate,Unknown,,0.0,46.0
CCL Products (India) Limited,FMCG,34,46,71,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.75
Ceat Limited,Tyre,51,64,65,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,45.0
Central Bank Of India,Banks,55,65,63,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.75
Central Depository Services (India) Limited,Financial Services (capital markets),46,48,77,59,Adequate,Mar-23,Environment/Social,Unknown,,0.0,42.75
Centum Electronics Limited,Heavy Engineering,28,42,64,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.5
Century Enka Limited,Textiles,39,58,73,CRISIL ESG 57,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Century Plyboards (India) Limited,Plywood Board,35,48,64,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.75
Century Textiles & Industries Limited,Paper,48,64,70,61,Strong,Mar-23,Environment,Unknown,,0.0,45.5
Cera Sanitaryware Limited,Sanitary ware and Ceramics,41,62,68,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
CESC Limited,Power Thermal,31,55,67,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
CG Power and Industrial Solutions Limited,Heavy Electrical Equipment,44,55,70,CRISIL ESG 57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Chalet Hotels Limited,Hotels,58,59,66,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.75
Chambal Fertilizers & Chemicals Limited,Chemicals - Fertilizers,40,53,63,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
Chemcon Speciality Chemicals Limited,Chemicals - Speciality Chemicals,27,30,59,41,Below Average,Mar-23,Environment/Social,Unknown,,0.0,29.0
Chemplast Sanmar Limited,Commodity Chemicals,45,56,67,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
Chennai Petroleum Corporation Limited,Oil & Gas - Refining & Marketing,46,51,64,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
Cholamandalam Financial Holdings Limited,Holding company,52,57,63,58,Adequate,Mar-22,All sectors adequate,Unknown,,0.0,43.0
Cholamandalam Investment & Finance Company Limited,NBFC,56,65,62,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,45.75
CIE Automotive India Limited,Auto Ancillary,27,34,67,45,Below Average,Dec-21,Environment/Social,Unknown,,0.0,32.0
Cipla Limited,Pharmaceuticals,59,68,78,69,Strong,Mar-22,All sectors adequate,Maharashtra,,70.0,68.75
City Union Bank Limited,Banks,53,61,80,66,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.5
Clean Science & Technology Limited,Chemicals - Speciality Chemicals,38,59,67,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Cms Info Systems Limited,Logistics,25,37,65,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
Coal India Limited,Mining,37,60,60,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
Cochin Shipyard Limited,Shipbuilding,36,59,58,51,Adequate,Mar-22,Environment,Unknown,,0.0,38.25
Coforge Limited,IT,63,59,71,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.25
Colgate - Palmolive India Limited,FMCG,52,57,73,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.5
Computer Age Management Services Limited,Financial Services (capital markets),50,62,74,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.5
Confidence Petroleum India Limited,Oil & Gas - Gas,27,53,69,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
Container Corporation of India Limited,Logistics,34,48,60,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.5
Coromandel International Limited,Chemicals - Fertilizers,44,54,71,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
